Company Name,Skills,More Information
"
  virtusa consulting services pvt. ltd.
  
  ","
python programming  ,  data analysis  ,  data visualization  ,  database management  ,  requirements gathering  , data mining , sql
    
   ",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-6-to-9-yrs-jobid-Reaxnq7jZr9zpSvf__PLUS__uAgZw==&source=srp
"
  virtusa consulting services pvt. ltd.
  
  ","
python  ,  javascript  ,  sql  ,  restful web services  ,  system design  , css , git , html
    
   ",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-3-to-5-yrs-jobid-pVT1BiWg5ERzpSvf__PLUS__uAgZw==&source=srp
"
  CONNECTING 2 WORK
  
  ","
   
     rest , python , django , mongodb
    
   ",https://www.timesjobs.com/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-MFJXBwZBWVhzpSvf__PLUS__uAgZw==&source=srp
"
  east india securities ltd.
  
  ","
python , hadoop , machine learning
    
   ",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-O9JSjUglX3hzpSvf__PLUS__uAgZw==&source=srp
"
  LAKSH HUMAN RESOURCE
  
  ","
   
     rest , python , django , git
    
   ",https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-uUEqcx71MRdzpSvf__PLUS__uAgZw==&source=srp
"
  zenga tv
  
  ","
   
     python , django , html5 , javascript
    
   ",https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-cQGeFhRqgNdzpSvf__PLUS__uAgZw==&source=srp
"
  DREAMAJAX TECHNOLOGIES
  
  ","
python , django , api , sql , nosql
    
   ",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-55iKtddZNCdzpSvf__PLUS__uAgZw==&source=srp
"
  INFINITY GROUP
  
  ","
python , css , django , html , bootstrap
    
   ",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&source=srp
"
  Datagrid Solutions
  
  ","
python , database , django , mysql , api
    
   ",https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-hdLfInxHIFxzpSvf__PLUS__uAgZw==&source=srp
"
  virtusa consulting services pvt. ltd.
  
  ","
   
     big data concepts  ,  python  ,  sql  ,  shell scripting  ,  aws s  , api
    
   ",https://www.timesjobs.com/job-detail/python-engineer-virtusa-consulting-services-pvt-ltd-bengaluru-bangalore-null-5-to-6-yrs-jobid-jkThrq73BGVzpSvf__PLUS__uAgZw==&source=srp
